city/state,associated filename,expiration,section,language,category,impact,id,State,Negotiating_Contract
Anaheim,Police Union Contract.txt,7/7/11,29.5,"If the grievance is then appealed to Third Step to be submitted to an impartial arbitrator for a final and binding decision, ANAHEIM and the APA agree to:

29.5.2.1 Develop a standing list of mutually approved arbitrators.

29.5.2.1.1 This list shall include no more than five (5) mutually approved arbitrators.

29.5.2.1.2ANAHEIM and the APA agree to re-establish the list of arbitrators once each year in January.

29.5.2.1.3 ANAHEIM and the APA may agree to remove arbitrators from this list at anytime.

29.5.2.2 Select the arbitrator from the standing list that has the earliest, reasonable available hearing date, unless the parties mutually agree to select another arbitrator from the list.

29.5.2.3 Stipulate to the following submission language when a dismissal is submitted to an impartial arbitrator. ""Was (name of employee) dismissed for good and sufficient cause? If not, what shall the remedy be?",Limits Oversight / Discipline,Allows officers to overturn discipline through binding arbitration,11,,
Anaheim,Police Union Contract.txt,7/7/11,29.6,"An employee who has been suspended, demoted, or dismissed may be reinstated to his or her position as a result of a successful appeal through the grievance procedure. In the event of such reinstatement, the employee shall be returned to the employees former status of employment, including reinstatement of seniority and accrued fringe benefits. In cases heard by the Anaheim City Manager, the decision shall explicitly detail what backpay, if any, is awarded to a reinstated employee. Any earnings of the reinstated employee from other employment during the employees period of suspension shall be deducted from the amount of back pay ordered by the Anaheim City Manager, if the employee would not have otherwise earned such amount.",Limits Oversight / Discipline,Allows officers to overturn discipline through binding arbitration,12,,
Anaheim,Police Union Contract.txt,7/7/11,29.4,An employee may appeal disciplinary actions taken under this ARTICLE under the provisions of ARTICLE 55 - GRIEVANCE GENERAL.,Limits Oversight / Discipline,Allows officers to overturn discipline through binding arbitration,13,,
Anaheim,Police Union Contract.txt,7/7/11,62.2,An employee found to be unfit for duty as a result of a fitness for duty assessment shall be deemed eligible for Paid Leave and Short-Term Disability Benefits,Requires City Pay for Misconduct,"Officers have paid leave or disability if unfit for duty, including due to substances",14,,
Anaheim,Police Union Contract.txt,7/7/11,54.1,"Employees in classifications listed in Appendix ""A"" may be placed on Administrative Leave With Pay at the discretion of Police Department management with the concurrence of the Anaheim City Manager under the following circumstances: 54.1.1 Officers involved in shooting. 54.1.2 Officers suspected of wrongful acts at such times as the best interests of ANAHEIM are served by keeping such officers away from the workplace.",Requires City Pay for Misconduct,"Paid leave for officers involved in police killing, at discretion of Police Chief",15,,
Anchorage,Police Union Contract.txt,6/30/18,5.1.H,"All disciplinary matters will be removed from the personnel file at the following times and under the following circumstances -- one year for oral/written reprimand and two years after imposition of a suspension, demotion, or disciplinary transfer.",Erases misconduct records,Erases sustained violations after 1 year (reprimand) or 2 years (suspension/transfer/demotion),16,,Yes
Anchorage,Police Union Contract.txt,6/30/18,5.2,The decision of the arbitrator will be binding upon all parties hereto.,Limits Oversight / Discipline,Allows officers to overturn discipline through binding arbitration,17,,Yes
Anchorage,Police Union Contract.txt,6/30/18,5.1.G.3,"Employees under non-criminal investigation get a written complaint within 4 working days. And where known, the employees shall get the name of the complainant unless that will jeopardize them.",Gives officers unfair access to information,Gives officers access to the names of complainants and nature of complaint before interrogation,18,,Yes
Anchorage,Police Union Contract.txt,6/30/18,5.1.G.6,"The interview may be recorded, and if it is, the employee shall have access to the

recording, if any further proceedings are contemplated, or prior to any further interviews

at a subsequent time. The employee that is being interviewed shall also have the right

to bring his or her own recording device and record any and all aspects of the interview

and, if the employee does so, the employee shall provide the Municipality access to the

recording. No recording device may be used by any party unless the Association and

the Municipality are made aware of the fact prior to such interview. Employees shall be

entitled to a transcribed copy of any notes made by a stenographer.",Gives officers unfair access to information,Gives officers immediate access to the recorded interrogation,19,,Yes
Anchorage,Police Union Contract.txt,6/30/18,5.1.G.2,"Employees shall be compensated if the interview occurs off-duty, at the appropriate rate of pay.",Requires City Pay for Misconduct,City pays officers while being interrogated off-duty,20,,Yes
Anchorage,Police Union Contract.txt,6/30/18,5.1.G.4,"Save when in the reasonable judgement of the Police Chief prior notice of an interview will serisouly jeopardize an investigation, an employee under investigation for a non-criminal offense shall be provided with a minimum of twenty-four (24) hours notice of any non-criminal interview.",Restricts/Delays Interrogations,24 hour delay,21,,Yes
Anchorage,Police Union Contract.txt,6/30/18,5.1.G.4,Interview sessions shall be for a reasonable period and under reasonable conditions.,Restricts/Delays Interrogations,Limits interrogations to 'reasonable amount of time',22,,Yes
Anchorage,Police Union Contract.txt,6/30/18,5.1.G.8,Interviews shall be conducted under circumstances devoid of abuse,Restricts/Delays Interrogations,Limits the type of language and incentives used during interrogation,23,,Yes
Arizona Police Bill of Rights,,None,38-1104.A.1,"The law enforcement officer shall be permitted reasonable breaks of limited duration during any interview for telephonic or in person consultation with authorized persons, including an attorney, who are immediately available.",Restricts/Delays Interrogations,Gives officers breaks that are not given to civilians,584,Arizona,
Arizona Police Bill of Rights,,None,38-1104.A.2,"Before the commencement of any interview described in this section, the employer shall provide the law enforcement officer with a written notice informing the officer of the alleged facts that are the basis of the investigation, the specific nature of the investigation, the officer's status in the investigation, all known allegations of misconduct that are the reason for the interview and the officer's right to have a representative present at the interview. The notice shall include copies of all complaints that contain the alleged facts that are reasonably available, except for copies of complaints that are filed with the employer and that include allegations of unlawful discrimination, harassment or retaliation or complaints that involve matters under the jurisdiction of the equal employment opportunity commission.",Gives officers unfair access to information,Gives officers access to the names of complainants and nature of complaint before interrogation,585,Arizona,
Arizona Police Bill of Rights,,None,38-1108.A,The results of a polygraph examination in an investigation may not be the basis for disciplinary action unless other corroborating evidence or information exists to support that disciplinary action.,Limits Oversight / Discipline,Prevents officers from being disciplined because they failed a lie detector test,586,Arizona,
Arizona Police Bill of Rights,,None,38-1108.C,"Except for a preemployment polygraph after which an applicant was not hired or in the case of an active investigation or an appeal, the data and reports from a polygraph examination of a law enforcement officer shall be destroyed as soon as practicable three years after the date of appointment or employment but not more than ninety calendar days after that date.",Erases misconduct records,Erases the results of lie detector tests from an officer's record after three years,587,Arizona,
Arizona Police Bill of Rights,,None,38-1110.C,"On an appeal of discipline by the employee, a hearing officer, administrative law judge or appeals board may dismiss the discipline if it is determined that the employer did not make a good faith effort to complete the investigation within one hundred eighty calendar days. The allegation regarding any act, omission or other misconduct may be sustained, and the employee's record shall reflect that the allegation was sustained but no discipline was administered due to the finding of the hearing officer, administrative law judge or appeals board that the employer did not make a good faith effort to complete the investigation in one hundred eighty calendar days. The sustained discipline may be considered when determining discipline in any future sustained misconduct allegation. If the employer determines that disciplinary action is appropriate, the employer shall complete the employer's investigation and give notice in writing to the law enforcement officer of the employer's intent to proceed with disciplinary action, along with a proposal of the specific action sought, including length of suspension, if applicable.",Limits Oversight / Discipline,180 day statute of limitations on investigations or no discipline can be imposed,588,Arizona,
Austin,Police Union Contract.txt,9/30/17,16.11.a lines 19-22,"The statutory time period for the Chief of Police to take disciplinary action against an Officer shall be tolled to the extent of any period in which a court order, injunction, or TRO, obtained by the Officer involved or the ASSOCIATION on behalf of the Officer, halts the Departments investigative or disciplinary process. In no event will the actual time exceed 180 calendar days.",Disqualifies Complaints,180 day statute of limitations on investigations or no discipline can be imposed,24,,
Austin,Police Union Contract.txt,9/30/17,18.1.C,"Records are not fully preserved, since records of suspensions (three days or less) are erased and replaced with a written reprimand.

c) Reductions of Suspensions of Three (3) Days or Less to a Written Reprimand

The parties agree that temporary suspensions of 1, 2, or 3 days that were imposed on or after March 25, 2001, will be automatically reduced to a written reprimand under the following conditions:

(1) Suspensions of 1, 2, or 3 days, which are/were not appealed, shall be reduced to a written reprimand two (2) years after the date the suspension was served on the Officer if:

i. The Officer does/did not have a sustained complaint for substantially similar conduct within two (2) years from the date the suspension was served on the Officer.

(2) Suspensions of 1, 2, or 3 days, which are/were not appealed, shall be reduced to a written reprimand three (3) years after the date the suspension was served on the Officer if:

i. The Officer has been previously disciplined for substantially similar conduct, and;

ii. The Officer does/did not have a sustained complaint for substantially similar conduct within the next three (3) years from the date the suspension was served on the Officer.

(3) Any controversy over whether or not the prior conduct was substantially similar may be presented to a Hearing Examiner under the other provisions of this Article.

(4) Suspensions of 1, 2, or 3 days that are/were appealed to the Civil Service Commission or a Hearing Examiner are not eligible for reduction to a written reprimand under this AGREEMENT.

(5) Suspensions of 1, 2, or 3 days that are/were reduced to a written reprimand shall not be introduced, cited, or used in any manner in subsequent disciplinary suspensions or appeals as to that Officer, but the original disciplinary decision is not covered by

37 this Section as to contentions of disparate discipline by other Officers.",Erases misconduct records,"Erases records of 1-3 day suspension, replaces with written reprimand",25,,
Austin,Police Union Contract.txt,9/30/17,17.4.g lines 14-17,"g) When the Chief of Police is notified that the Panel plans to review a case involving a critical incident or an allegation of a civil rights violation, the Officer and his representative shall be given an opportunity to meet with the Internal Affairs investigator and review witness statements and photographic or videotape evidence contained in the IA file, for up to eight hours.",Gives officers unfair access to information,Gives officers access to all evidence prior to an interrogation,26,,
Austin,Police Union Contract.txt,9/30/17,17.4.b lines 23-27,"b) Before the Officer who is the subject of an investigation provides a statement to an investigator, the Officer and his representative shall be provided an opportunity to review any videotape, photograph, or other recording of the operative conduct or alleged injuries, if any, which is the subject of the allegations if such recording is within the possession or control of the Department.",Gives officers unfair access to information,Gives officers access to all evidence prior to an interrogation,27,,
Austin,Police Union Contract.txt,9/30/17,17.4.f.i lines 5-7,"i) The Officer and his representative shall be allowed up to eight hours to review any and all evidence gathered or obtained during the investigation. The evidence available for review shall include the IA summary, if any;",Gives officers unfair access to information,Gives officers access to all evidence prior to an interrogation,28,,
Austin,Police Union Contract.txt,9/30/17,"16.6.2,3.4.5","(2) The final decision as to appropriate discipline is within the sole discretion of the Chief of Police, subject to the Officers right of appeal of any discipline imposed as provided by Chapter 143 of the Texas Local Government Code and this AGREEMENT. Neither the  OPM 6 employees nor individual members of the Panel shall publicly express agreement or 7 disagreement with the final disciplinary decision of the Chief, other than as set forth in the 8 written recommendation. A deliberate violation of this provision shall be subject to the dispute 9 resolution process set forth in Section 7 of this Article, but a Panel member shall be permanently 10 removed from the Panel upon a violation of this standard",Limits Oversight / Discipline,No civilian discipline power,29,,
Austin,Police Union Contract.txt,9/30/17,16.1.c lines 16-18,"c) Except as otherwise provided by this AGREEMENT, the Chief of Police retains all management rights and authority over the process of administrative investigation of alleged misconduct by APD Officers that could result in disciplinary action.",Limits Oversight / Discipline,Limits civilian power to conduct misconduct investigations,30,,
Austin,Police Union Contract.txt,9/30/17,16.1.d lines 20-26,"d) Except as specifically permitted in this Article, the Citizen Oversight process, regardless of its name or structure, shall not be used or permitted to gather evidence, contact or interview witnesses, or otherwise independently investigate a complaint of misconduct by an Officer. There shall be no legal or administrative requirement, including but not limited to subpoena power or an order from the City Manager or the Department, that an Officer appear before or present evidence to any individual, panel, committee, group, or forum of any type involved in Citizen Oversight.",Limits Oversight / Discipline,No civilian subpoena power,31,,
Austin,Police Union Contract.txt,9/30/17,16.4.h.2.c lines 21-25,"c. Information in the possession of the Association Representative as a result of 22 participation in such briefing shall not be disclosed or revealed other than as 23 necessary as a part of official Association business in monitoring and enforcing 24 this AGREEMENT, or in the normal course of dispute resolution processes 25 under this AGREEMENT.",Limits Oversight / Discipline,"PBA knows what everyone said even in private, cannot disclose publicly",32,,
Austin,Police Union Contract.txt,9/30/17,16.3.d lines 32-35,"The final classification of an allegation of misconduct is within the sole discretion of the Chief of Police, subject to the Officers right of appeal of any discipline imposed as provided by Chapter 143 of the Texas Local Government Code and this AGREEMENT",Limits Oversight / Discipline,No civilian discipline power,33,,
Austin,Police Union Contract.txt,9/30/17,16.4.i lines 40-43,"After the Private Session, the Panel shall meet in Public Session to receive public input/communications. During the public session, the Police Monitor shall take precautions to prevent discussion of the facts of the particular case and to prevent the Public Session from being used as a forum to gather evidence, interview witnesses, or otherwise independently investigate a complaint.",Limits Oversight / Discipline,panel not allowed to hear any data in public session,34,,
Austin,Police Union Contract.txt,9/30/17,16.6.2 lines 44-3,"2) A Panel recommendation that further investigation by the Department is warranted, as authorized by Section 4(l)(1)(a). Unless made confidential by a law other than Section 143.089(g) of the Texas Local Government Code, such recommendations shall be subject to public release, in their entirety, only after the Police Chiefs final disciplinary decision as to the subject Officer(s), and only if the Police Chief imposes discipline.",Limits Oversight / Discipline,"police chief, if doing nothing, keeps info from getting out",35,,
Austin,Police Union Contract.txt,9/30/17,16.4.f.4 lines 8-9,"(4) By virtue of its purely advisory role, the Panel is not a governmental body and is not subject to the Open Meetings Act.",Limits Oversight / Discipline,"meetings can be held in secret, don't have to abide by sunshine law",36,,
Austin,Police Union Contract.txt,9/30/17,16.4.l.2 lines 5-10,"Neither the OPM employees nor individual members of the Panel shall publicly express agreement or disagreement with the final disciplinary decision of the Chief, other than as set forth in the written recommendation. A deliberate violation of this provision shall be subject to the dispute 9 resolution process set forth in Section 7 of this Article, but a Panel member shall be permanently 10 removed from the Panel upon a violation of this standard.",Limits Oversight / Discipline,Prevents civilian oversight from criticizing Police Chief,37,,
Austin,Police Union Contract.txt,9/30/17,16.4.l.2 lines 3-5,"no public release unless police chief says so. Police chief decides eveything. ""(2) The final decision as to appropriate discipline is within the sole discretion of the

Chief of Police, subject to the Officers right of appeal of any discipline imposed as provided by Chapter 143 of the Texas Local Government Code and this AGREEMENT. Neither the  OPM employees nor individual members of the Panel shall publicly express agreement or disagreement with the final disciplinary decision of the Chief, other than as set forth in the written recommendation. A deliberate violation of this provision shall be subject to the dispute resolution process set forth in Section 7 of this Article, but a Panel member shall be permanently removed from the Panel upon a violation of this standard",Limits Oversight / Discipline,No civilian discipline power,38,,
Austin,Police Union Contract.txt,9/30/17,17.3 lines 1-4,"There shall be no legal or administrative requirement, including but not limited to subpoena 2 power or an order from the City Manager or the Department, that an officer appear before or 3 present evidence to any individual, panel, committee, group, or forum of any type involved in 4 Citizen Oversight.",Limits Oversight / Discipline,No civilian subpoena power,39,,
Austin,Police Union Contract.txt,9/30/17,18.2,"If the Chief determines to suspend an Officer for fifteen (15) days or less, the Chief may, at his sole discretion in hardship cases, authorize use of the Officer's accumulated vacation leave to cover all or part of the suspension. It is also understood and agreed that if the Chief permits the use of vacation days for suspension, such days off shall be considered as equal punishment to traditional unpaid days of suspension.",Requires City Pay for Misconduct,Allows officers to use discretionary time to pay themselves while on unpaid suspension,40,,
Austin,Police Union Contract.txt,9/30/17,18.1.a.1,"Suspensions that may not be appealed. The Officer may choose to use vacation or holiday time to serve the suspension with no loss of paid salary and no break in service for purposes of seniority, retirement, promotion, or any other purpose",Requires City Pay for Misconduct,Allows officers to use discretionary time to pay themselves while on unpaid suspension,41,,
Austin,Police Union Contract.txt,9/30/17,17.4.a lines 13-15,"a) Not less than forty eight (48) hours before the Officer who is the subject of an investigation provides a statement to an investigator, the Officer shall be provided a copy of the complaint(s).",Restricts/Delays Interrogations,48 hours for the police officer to prepare before giving statement,42,,
Bakersfield,Police Union Contract.txt,6/30/13,09.10.00,The mediator shall make no public recommendations nor shall there be any public disclosure of mediation discussions in further proceedings in the grievance procedure.,Limits Oversight / Discipline,Prevents the public from accessing information about mediation results and processes,43,,
Baltimore,non supervisors.txt,9/30/16,Addendum E,"In the event that a member shall be investigated for an on-duty use of deadly force, (including but not limited to discharging of a firearm), the member shall not be required to submit to drug screening and/or alcohol testing unless there is reasonable suspicion to believe the member acted under the influence of drugs and/or alcohol. Changes to this standard are reserved to the Police Commissioner and may be changed at his discretion.",Restricts/Delays Interrogations,Limits drug testing after police shootings,44,,
Baltimore,supervisors.txt,9/30/16,Addendum E,"In the event that a member shall be investigated for an on-duty use of deadly force, (including but not limited to discharging of a firearm), the member shall not be required to submit to drug screening and/or alcohol testing unless there is reasonable suspicion to believe the member acted under the influence of drugs and/or alcohol. Changes to this standard are reserved to the Police Commissioner and may be changed at his discretion.",Restricts/Delays Interrogations,Limits drug testing after police shootings,44,,
Baltimore,non supervisors.txt,9/30/16,16.G,"If an accident is found to have been non-preventable, all records of the accident shall be expunged from the member's file. If a member requests expungement of a formal complaint or other material from any file of the member pursuant to the Law Enforcement Officers' Bill of Rights, the complaint and/or material shall be expunged within sixty (60) days of the request. The Department agrees promptly to give the member written notice that the records have been expunged pursuant to his or her request.",Erases misconduct records,"Erases records if accidents are found to be non-preventable, erases records in accordance with officer's bill of rights",45,,
Baltimore,supervisors.txt,9/30/16,16.G,"If an accident is found to have been non-preventable, all records of the accident shall be expunged from the member's file. If a member requests expungement of a formal complaint or other material from any file of the member pursuant to the Law Enforcement Officers' Bill of Rights, the complaint and/or material shall be expunged within sixty (60) days of the request. The Department agrees promptly to give the member written notice that the records have been expunged pursuant to his or her request.",Erases misconduct records,"Erases records if accidents are found to be non-preventable, erases records in accordance with officer's bill of rights",45,,
Baltimore,non supervisors.txt,9/30/16,16.C.2,"For major disciplinary matters, where a three-person Departmental Hearing Board is established, such hearing shall not be scheduled any sooner than forty-five ( 45) days from the date that counsel for the accused receives a copy of the charges and the IAD case book material, unless a shorter period is mutually agreed upon by the Department and counsel.",Limits Oversight / Discipline,"Prevents officers from being disciplined until a departmental hearing board in many cases, delays the hearing board for a 45 day period after the officer's lawyer receives notice.",46,,
Baltimore,supervisors.txt,9/30/16,16.C.2,"For major disciplinary matters, where a three-person Departmental Hearing Board is established, such hearing shall not be scheduled any sooner than forty-five ( 45) days from the date that counsel for the accused receives a copy of the charges and the IAD case book material, unless a shorter period is mutually agreed upon by the Department and counsel.",Limits Oversight / Discipline,"Prevents officers from being disciplined until a departmental hearing board in many cases, delays the hearing board for a 45 day period after the officer's lawyer receives notice.",46,,
Baltimore,non supervisors.txt,9/30/16,16.C.4,"If an accused employee declines the option of including an AU on a Departmental Hearing Board as defined in Paragraph C.3 herein, the accused

employee shall be entitled to three (3) peremptory challenges of persons designated as members of the Departmental Hearing Board. Only two (2) peremptory

challenges may be used to strike the Hearing Board Chairperson. No individual assigned to Traffic may sit as a member of the Traffic Accident Review Board. The Department agrees to choose panel members on a random basis by computer from those management and unit members who are in the trial board pool. The Department shall give the Lodge notice and opportunity to be present when the panel is chosen and the Lodge may designate either Lodge Representative or designee who may observe the random selection of the panel. The Department will increase the number of officers in the pool to 50 and maintain approximately 30 sergeants and 20 lieutenants in the pool. The pool shall also include command staff under the Deputy Commissioner rank other than those who have been excluded for bona fide reasons by the Commissioner or his designee.",Limits Oversight / Discipline,"Allows officers to remove three members of the disciplinary hearing board, ensuring a board of officers that are more favorable to the officer involved",47,,
Baltimore,supervisors.txt,9/30/16,16.D,No civilians other than an Administrative Law Judge may serve on a Departmental Hearing Board.,Limits Oversight / Discipline,"Limits civilian discipline power, prevents civilians other than Admin Law Judge from serving on a disciplinary hearing board",48,,
Baltimore,non supervisors.txt,9/30/16,16.D,No civilians other than an Administrative Law Judge may serve on a Departmental Hearing Board.,Limits Oversight / Discipline,"Limits civilian discipline power, prevents civilians other than Admin Law Judge from serving on a disciplinary hearing board",48,,
Baltimore,supervisors.txt,9/30/16,16.C.3,"A unit employee shall have the option of a Departmental Hearing Board conducted by a panel composed of an Administrative Law Judge (hereinafter ""AU"")

and three sworn members, one being of equal rank. If the employee is represented by counsel, the counsel shall, with the consent of the member, have the option of selecting the AU process. If the employee is unrepresented, the employee shall make the selection. The AU will act as the Departmental Hearing Board Chairperson and make evidentiary and legal rulings but will not be a voting member of the panel during deliberations on verdict or sentencing. In no event shall an AU be appointed to a Departmental Hearing Board without the consent of the accused employee or his/her counsel of record.",Limits Oversight / Discipline,"Limits civilian discipline power, prevents the Admin Law Judge (the only civilian on the disciplinary hearing board) from having voting power and requires the officer/officer's lawyer to consent to the appointment of then Admin Law Judge",49,,
Baltimore,non supervisors.txt,9/30/16,16.C.3,"A unit employee shall have the option of a Departmental Hearing Board conducted by a panel composed of an Administrative Law Judge (hereinafter ""AU"")

and three sworn members, one being of equal rank. If the employee is represented by counsel, the counsel shall, with the consent of the member, have the option of selecting the AU process. If the employee is unrepresented, the employee shall make the selection. The AU will act as the Departmental Hearing Board Chairperson and make evidentiary and legal rulings but will not be a voting member of the panel during deliberations on verdict or sentencing. In no event shall an AU be appointed to a Departmental Hearing Board without the consent of the accused employee or his/her counsel of record.",Limits Oversight / Discipline,"Limits civilian discipline power, prevents the Admin Law Judge (the only civilian on the disciplinary hearing board) from having voting power and requires the officer/officer's lawyer to consent to the appointment of then Admin Law Judge",49,,
Baltimore,supervisors.txt,9/30/16,16.a.1,Suspension without pay may only be imposed in accordance with this Section and only in the case of an employee charged with a felony.,Requires City Pay for Misconduct,"paid leave for officers involved in misconduct, except when charged with a felony which almost never happens",50,,
Baltimore,non supervisors.txt,9/30/16,16.a.1,Suspension without pay may only be imposed in accordance with this Section and only in the case of an employee charged with a felony.,Requires City Pay for Misconduct,"paid leave for officers involved in misconduct, except when charged with a felony which almost never happens",50,,
Baltimore,supervisors.txt,9/30/16,15,Legal counsel will be provided in any civil case when the plaintiff alleges that a member should be held liable for acts alleged to be within the scope of his employment and/or his official capacity.  ... indemnification will also be provided to any member of the unit who is made a defendant in litigation arising out of acts within the scope of his or her employment.,Requires City Pay for Misconduct,City pays costs of misconduct settlements and full cost of legal defense,51,,
Baltimore,non supervisors.txt,9/30/16,15,Legal counsel will be provided in any civil case when the plaintiff alleges that a member should be held liable for acts alleged to be within the scope of his employment and/or his official capacity.  ... indemnification will also be provided to any member of the unit who is made a defendant in litigation arising out of acts within the scope of his or her employment.,Requires City Pay for Misconduct,City pays costs of misconduct settlements and full cost of legal defense,51,,
Baton Rouge,Police Union Contract.txt,12/31/16,VIII.a,"During the term of this Agreement all letters of instruction, letters of caution, or counseling letters issued to each Employee which are reduced to writing shall be placed in his or her file in the Chief's Office, shall be duplicated and a copy shall be sent to the Employee. The letter shall be removed within twelve (12) months of the date of issuance if no other letters of caution, instruction or counseling are received by the employee. The removal of documents shall be for administrative purposes only and all such records shall be maintained to the extent required by the public records law.",Erases misconduct records,"Erases letters of instruction, letters of caution, and counseling letters from an officer's record after 1 year.",52,,
Baton Rouge,Police Union Contract.txt,12/31/16,IX.b.2,"If a complaint against an officer after an investigation is found to be ""sustained"" then all references will be purged after 18 months providing the officer has no other complaints during that 18 month period.",Erases misconduct records,"Erases complaints that were ""sustained"" after 18 months if no similar complaints are filed within that amount of time",53,,
Baton Rouge,Police Union Contract.txt,12/31/16,IX.b.3,"If a complaint against an officer after investigation is found to be ""not sustained"" then all references to same will be purged after 18 months providing the officer as no other complaints during that 18 month period.",Erases misconduct records,"Erases complaints that were not ""sustained"" after 18 months",54,,
Baton Rouge,Police Union Contract.txt,12/31/16,IX.B.4,"If Any Complaint: Results in suspension, then all records will be destroyed after 5 years unless there are similar complaints within that time period.

Results in demotion then all records will be destroyed after 5 years unless there are similar complaints within that time period.

Involves sexual misconduct then all records will be destroyed after 5 years unless there are similar complaints within that time period.

Involves sexual harassment then all records will be destroyed after 5 years unless there are similar complaints within that time period.

Involves domestic violence then all records will be destroyed after 5 years unless there are similar complaints within that time period.",Erases misconduct records,Erases sustained violations after 5 years,55,,
Baton Rouge,Police Union Contract.txt,12/31/16,IX.A.6,All interrogations of an Employee in connection with any investigation shall be recorded in full. An Employee who has been identified as the subject of an investigation shall be entitled to obtain a copy of the entire investigation record upon written request.,Gives officers unfair access to information,Gives officers immediate access to the recorded interrogation,56,,
Baton Rouge,Police Union Contract.txt,12/31/16,XXI,City shall provide legal defense and indemnify any officer who is sued in connection with activities occurring during the course and scope of his employment.,Requires City Pay for Misconduct,City pays costs of misconduct settlements and full cost of legal defense,57,,
Baton Rouge,Police Union Contract.txt,12/31/16,IX.A.4,Any interrogation shall be for a reasonable period of time and shall allow for a reasonable period of rest and time for the Employee to see to personal needs.,Restricts/Delays Interrogations,"Limits interrogations to 'reasonable amount of time', gives officers breaks that are not given to civilians",58,,
Boston,supervisors.txt,6/30/16,6.5,The decision of the arbitrator shall be final and binding upon the parties,Limits Oversight / Discipline,Allows officers to overturn discipline through binding arbitration.,592,,Yes
Boston,non supervisor.txt,6/30/16,6.5,The decision of the arbitrator shall be final and binding upon the parties,Limits Oversight / Discipline,Allows officers to overturn discipline through binding arbitration.,592,,Yes
Buffalo,pt. 1.txt,6/30/17,22.12.1 E,"No removal or disciplinary proceeding shall be commenced more than one ( 1) year after the occurrence of the wrong-doing complained of or its

discovery, if later. However, such limitation shall not apply where the wrongdoing complained of would, if proved in a court of appropriate jurisdiction, constitute a crime.",Disqualifies Complaints,1 year statute of limitations on investigations or no discipline can be imposed,59,,
Buffalo,pt. 1.txt,6/30/17,22.2 B,"The member shall be informed of the nature of the investigation before any interrogation begins, including the name of the complainant. (...) the member shall be given sufficient information to reasonable apprise him of the allegations",Gives officers unfair access to information,Gives officers access to the names of complainants and nature of complaint before interrogation,60,,
